date,home,away,line,home_score,away_score,home_lgt,home_stdc,home_power,away_lgt,away_stdc,away_power,system_num,system_bet,result
23-01-01,Commanders,Browns,-2.0,10,24,1.0,0.0,-0.0,0.0,-1.0,3.2,-1,,
23-01-01,Giants,Colts,-5.5,38,10,2.0,7.0,-3.2,1.0,-3.0,-5.5,-3,Colts,L
23-01-01,Chiefs,Broncos,-12.5,27,24,-1.0,-3.0,9.2,4.0,-3.0,-3.7,-1,,
23-01-01,Texans,Jaguars,3.5,3,31,-2.0,0.0,-5.3,-1.0,-1.0,-0.8,-2,,
23-01-01,Patriots,Dolphins,-3.0,23,21,-2.0,0.0,0.7,3.0,-1.0,0.9,-4,Dolphins,W
23-01-01,Eagles,Saints,-5.0,10,20,3.0,1.0,5.0,0.0,-3.0,2.6,-2,,
23-01-01,Seahawks,Jets,1.5,23,6,1.0,-3.0,0.5,1.0,1.0,-1.2,3,Seahawks,W
23-01-01,Raiders,49ers,10.0,34,37,2.0,-1.0,0.3,-1.0,5.0,4.3,5,Raiders,W
23-01-01,Packers,Vikings,-3.5,41,17,-3.0,-1.0,-0.9,-2.0,-2.0,-2.1,-1,,
23-01-01,Chargers,Rams,-6.5,31,10,-1.0,4.0,-0.9,-4.0,-4.0,-8.5,-1,,
23-01-01,Ravens,Steelers,-1.0,13,16,-1.0,-2.0,2.4,-2.0,2.0,-0.7,3,Ravens,L
23-01-07,Raiders,Chiefs,8.5,13,31,1.0,0.0,-2.6,0.0,-4.0,6.9,-1,,
23-01-07,Jaguars,Titans,-6.5,20,16,1.0,0.0,0.4,-1.0,2.0,-6.4,4,Jaguars,L
23-01-08,Bills,Patriots,-8.0,35,23,1.0,0.0,7.8,-2.0,-1.0,-0.1,0,,
23-01-08,Bengals,Ravens,-11.0,27,16,2.0,9.0,6.1,1.0,-3.0,-0.6,-3,Ravens,
23-01-08,Falcons,Buccaneers,-6.0,30,17,1.0,0.0,-2.6,-2.0,-7.0,1.3,0,,
23-01-08,Saints,Panthers,-3.5,7,10,0.0,-2.0,3.5,2.0,0.0,-1.0,1,,
23-01-08,Bears,Vikings,6.5,13,29,2.0,-5.0,-1.7,4.0,-3.0,-2.2,1,,
23-01-08,Steelers,Browns,-2.5,28,14,-1.0,3.0,-0.4,-3.0,0.0,2.7,-2,,
23-01-08,Colts,Texans,-3.0,31,32,0.0,-4.0,-6.5,-1.0,-1.0,-6.7,0,,
23-01-08,Dolphins,Jets,-3.5,11,6,2.0,0.0,0.3,3.0,0.0,1.8,-1,,
23-01-08,49ers,Cardinals,-14.5,38,13,-1.0,4.0,7.7,-1.0,0.0,-6.3,-2,,
23-01-08,Commanders,Cowboys,7.5,26,6,3.0,-1.0,1.9,1.0,3.0,9.2,3,Commanders,W
23-01-08,Broncos,Chargers,-6.5,31,28,0.0,-2.0,-3.3,-1.0,5.0,-3.5,2,,
23-01-08,Eagles,Giants,-17.0,22,16,0.0,0.0,6.9,0.0,8.0,-3.2,0,,
23-01-08,Seahawks,Rams,-4.5,19,16,-3.0,-2.0,-1.3,1.0,-5.0,-7.8,-1,,
23-01-08,Packers,Lions,-4.0,16,20,-4.0,0.0,-1.5,-2.0,6.0,1.2,0,,
23-01-14,49ers,Seahawks,-9.5,41,23,-4.0,5.0,7.0,1.0,-3.0,-2.9,-3,Seahawks,L
23-01-14,Jaguars,Chargers,2.5,31,30,-1.0,-1.0,-0.5,0.0,6.0,-2.8,2,,
23-01-15,Bills,Dolphins,-14.0,34,31,0.0,1.0,5.0,0.0,1.0,0.6,-1,,
23-01-15,Vikings,Giants,-2.5,24,31,0.0,-2.0,0.9,-1.0,9.0,-4.7,4,Vikings,L
23-01-15,Bengals,Ravens,-8.0,24,17,-3.0,9.0,7.3,3.0,-3.0,-0.3,-5,Ravens,W
23-01-16,Buccaneers,Cowboys,2.5,14,31,0.0,-8.0,-0.5,1.0,2.0,10.5,0,,
23-01-21,Chiefs,Jaguars,-9.5,27,20,-2.0,-3.0,9.1,5.0,0.0,-4.1,0,,
23-01-21,Eagles,Giants,-8.0,38,7,1.0,-1.0,8.6,0.0,10.0,-3.0,4,Eagles,W
23-01-22,Bills,Bengals,-6.0,10,27,1.0,0.0,7.9,-1.0,8.0,7.0,2,,
23-01-22,49ers,Cowboys,-3.5,19,12,-2.0,6.0,6.2,-1.0,3.0,8.2,-1,,
23-01-29,Eagles,49ers,-3.0,31,7,-1.0,0.0,2.2,-1.0,7.0,8.2,0,,
23-01-29,Chiefs,Bengals,-2.0,23,20,-2.0,-4.0,5.3,-1.0,9.0,9.0,1,,
23-02-12,Eagles,Chiefs,-1.0,35,38,-3.0,1.0,6.4,-1.0,-3.0,3.5,-1,,
